year,month,ann_arr,ann_bed,ann_occ,weight,eur_try,cpi_trnc,cpi_tr_yoy,arrivals,bednights,occupancy,date,source_tourism,source_macro,covid,log_arrivals,log_eur_try
2015,1,1773965,3167166,48.8,0.068,3.02,100,7.67,120630,215367,39.8,2015-01-01,TRNC TPD Yearbook 2024 / 2025 Bulletin,TCMB EVDS / KKTC Stat Inst,0,11.700483288559429,1.1052568313867783
2015,2,1773965,3167166,48.8,0.069,3.02,100,7.67,122404,218534,40.4,2015-02-01,TRNC TPD Yearbook 2024 / 2025 Bulletin,TCMB EVDS / KKTC Stat Inst,0,11.715082328264954,1.1052568313867783
2015,3,1773965,3167166,48.8,0.063,3.02,100,7.67,111760,199531,36.9,2015-03-01,TRNC TPD Yearbook 2024 / 2025 Bulletin,TCMB EVDS / KKTC Stat Inst,0,11.624108993930843,1.1052568313867783
2015,4,1773965,3167166,48.8,0.076,3.02,100,7.67,134821,240705,44.5,2015-04-01,TRNC TPD Yearbook 2024 / 2025 Bulletin,TCMB EVDS / KKTC Stat Inst,0,11.81170325167706,1.1052568313867783
2015,5,1773965,3167166,48.8,0.08,3.02,100,7.67,141917,253373,46.8,2015-05-01,TRNC TPD Yearbook 2024 / 2025 Bulletin,TCMB EVDS / KKTC Stat Inst,0,11.86299765865031,1.1052568313867783
2015,6,1773965,3167166,48.8,0.081,3.02,100,7.67,143691,256540,47.4,2015-06-01,TRNC TPD Yearbook 2024 / 2025 Bulletin,TCMB EVDS / KKTC Stat Inst,0,11.875420439625579,1.1052568313867783
2015,7,1773965,3167166,48.8,0.088,3.02,100,7.67,156109,278711,51.5,2015-07-01,TRNC TPD Yearbook 2024 / 2025 Bulletin,TCMB EVDS / KKTC Stat Inst,0,11.958309760190653,1.1052568313867783
2015,8,1773965,3167166,48.8,0.095,3.02,100,7.67,168527,300881,55.6,2015-08-01,TRNC TPD Yearbook 2024 / 2025 Bulletin,TCMB EVDS / KKTC Stat Inst,0,12.034851253326638,1.1052568313867783
2015,9,1773965,3167166,48.8,0.104,3.02,100,7.67,184492,329385,60.9,2015-09-01,TRNC TPD Yearbook 2024 / 2025 Bulletin,TCMB EVDS / KKTC Stat Inst,0,12.125361381089023,1.1052568313867783
2015,10,1773965,3167166,48.8,0.101,3.02,100,7.67,179170,319884,59.1,2015-10-01,TRNC TPD Yearbook 2024 / 2025 Bulletin,TCMB EVDS / KKTC Stat Inst,0,12.096090354793944,1.1052568313867783
2015,11,1773965,3167166,48.8,0.087,3.02,100,7.67,154335,275543,50.9,2015-11-01,TRNC TPD Yearbook 2024 / 2025 Bulletin,TCMB EVDS / KKTC Stat Inst,0,11.94688084347802,1.1052568313867783
2015,12,1773965,3167166,48.8,0.088,3.02,100,7.67,156109,278711,51.5,2015-12-01,TRNC TPD Yearbook 2024 / 2025 Bulletin,TCMB EVDS / KKTC Stat Inst,0,11.958309760190653,1.1052568313867783
2016,1,1862558,3416846,48.6,0.068,3.33,110.2,7.78,126654,232346,39.7,2016-01-01,TRNC TPD Yearbook 2024 / 2025 Bulletin,TCMB EVDS / KKTC Stat Inst,0,11.749214238034126,1.2029723039923526
2016,2,1862558,3416846,48.6,0.069,3.33,110.2,7.78,128517,235762,40.2,2016-02-01,TRNC TPD Yearbook 2024 / 2025 Bulletin,TCMB EVDS / KKTC Stat Inst,0,11.76381647028695,1.2029723039923526
2016,3,1862558,3416846,48.6,0.063,3.33,110.2,7.78,117341,215261,36.7,2016-03-01,TRNC TPD Yearbook 2024 / 2025 Bulletin,TCMB EVDS / KKTC Stat Inst,0,11.672839504686591,1.2029723039923526
2016,4,1862558,3416846,48.6,0.076,3.33,110.2,7.78,141554,259680,44.3,2016-04-01,TRNC TPD Yearbook 2024 / 2025 Bulletin,TCMB EVDS / KKTC Stat Inst,0,11.860436548706657,1.2029723039923526
2016,5,1862558,3416846,48.6,0.08,3.33,110.2,7.78,149005,273348,46.7,2016-05-01,TRNC TPD Yearbook 2024 / 2025 Bulletin,TCMB EVDS / KKTC Stat Inst,0,11.911735141411551,1.2029723039923526
2016,6,1862558,3416846,48.6,0.081,3.33,110.2,7.78,150867,276765,47.2,2016-06-01,TRNC TPD Yearbook 2024 / 2025 Bulletin,TCMB EVDS / KKTC Stat Inst,0,11.924153932967497,1.2029723039923526
2016,7,1862558,3416846,48.6,0.088,3.33,110.2,7.78,163905,300682,51.3,2016-07-01,TRNC TPD Yearbook 2024 / 2025 Bulletin,TCMB EVDS / KKTC Stat Inst,0,12.007042270672956,1.2029723039923526
2016,8,1862558,3416846,48.6,0.095,3.33,110.2,7.78,176943,324600,55.4,2016-08-01,TRNC TPD Yearbook 2024 / 2025 Bulletin,TCMB EVDS / KKTC Stat Inst,0,12.08358292579361,1.2029723039923526
2016,9,1862558,3416846,48.6,0.104,3.33,110.2,7.78,193706,355352,60.7,2016-09-01,TRNC TPD Yearbook 2024 / 2025 Bulletin,TCMB EVDS / KKTC Stat Inst,0,12.174096824651023,1.2029723039923526
2016,10,1862558,3416846,48.6,0.101,3.33,110.2,7.78,188118,345101,58.9,2016-10-01,TRNC TPD Yearbook 2024 / 2025 Bulletin,TCMB EVDS / KKTC Stat Inst,0,12.144824704490668,1.2029723039923526
2016,11,1862558,3416846,48.6,0.087,3.33,110.2,7.78,162043,297266,50.7,2016-11-01,TRNC TPD Yearbook 2024 / 2025 Bulletin,TCMB EVDS / KKTC Stat Inst,0,11.995617011092419,1.2029723039923526
2016,12,1862558,3416846,48.6,0.088,3.33,110.2,7.78,163905,300682,51.3,2016-12-01,TRNC TPD Yearbook 2024 / 2025 Bulletin,TCMB EVDS / KKTC Stat Inst,0,12.007042270672956,1.2029723039923526
2017,1,2045014,4223862,58.5,0.068,4.12,122.8,11.14,139061,287223,47.7,2017-01-01,TRNC TPD Yearbook 2024 / 2025 Bulletin,TCMB EVDS / KKTC Stat Inst,0,11.842667964767667,1.415853163361435
2017,2,2045014,4223862,58.5,0.069,4.12,122.8,11.14,141106,291446,48.4,2017-02-01,TRNC TPD Yearbook 2024 / 2025 Bulletin,TCMB EVDS / KKTC Stat Inst,0,11.857266659970136,1.415853163361435
2017,3,2045014,4223862,58.5,0.063,4.12,122.8,11.14,128836,266103,44.2,2017-03-01,TRNC TPD Yearbook 2024 / 2025 Bulletin,TCMB EVDS / KKTC Stat Inst,0,11.766295556704264,1.415853163361435
2017,4,2045014,4223862,58.5,0.076,4.12,122.8,11.14,155421,321014,53.4,2017-04-01,TRNC TPD Yearbook 2024 / 2025 Bulletin,TCMB EVDS / KKTC Stat Inst,0,11.95389284292089,1.415853163361435
2017,5,2045014,4223862,58.5,0.08,4.12,122.8,11.14,163601,337909,56.2,2017-05-01,TRNC TPD Yearbook 2024 / 2025 Bulletin,TCMB EVDS / KKTC Stat Inst,0,12.005185815601541,1.415853163361435
2017,6,2045014,4223862,58.5,0.081,4.12,122.8,11.14,165646,342133,56.9,2017-06-01,TRNC TPD Yearbook 2024 / 2025 Bulletin,TCMB EVDS / KKTC Stat Inst,0,12.01760826013797,1.415853163361435
2017,7,2045014,4223862,58.5,0.088,4.12,122.8,11.14,179961,371700,61.8,2017-07-01,TRNC TPD Yearbook 2024 / 2025 Bulletin,TCMB EVDS / KKTC Stat Inst,0,12.100495439730068,1.415853163361435
2017,8,2045014,4223862,58.5,0.095,4.12,122.8,11.14,194276,401267,66.7,2017-08-01,TRNC TPD Yearbook 2024 / 2025 Bulletin,TCMB EVDS / KKTC Stat Inst,0,12.17703510740688,1.415853163361435
2017,9,2045014,4223862,58.5,0.104,4.12,122.8,11.14,212681,439282,73,2017-09-01,TRNC TPD Yearbook 2024 / 2025 Bulletin,TCMB EVDS / KKTC Stat Inst,0,12.267548669506787,1.415853163361435
